chr ratio.mean ratio.median zscore.mean zscore.median
1 0.00183409429362 0.00216888706715 0.0119692003021 0.00372552480946
2 0.00215006809757 0.00312668963627 0.0182982089315 0.0305247416208
3 0.0046052953991 0.00474804614812 0.0866845119463 0.0732188237179
4 0.00425571836198 0.00482766342263 0.0743976514929 0.0752382954472
5 0.00360579849179 0.00343659171637 0.0584919530296 0.0375228513942
6 0.00225472298453 0.00275402515351 0.0207155222713 0.0200697757416
7 0.00266361987954 0.00271580273161 0.0339186766778 0.0187031798432
8 0.00260704818446 0.00306228713485 0.0310087322274 0.0266191829557
9 0.00220980884503 0.00342690918934 0.0172389740528 0.036866393706
10 0.00186388480406 0.00282308192571 0.00968704316628 0.0209105838116
11 0.00183890260509 0.0017742663051 0.00964760817548 -0.00698443706485
12 0.00175330934805 0.002846671301 0.00755866347673 0.0235855445419
13 0.00316772584271 0.00398247057979 0.048657533646 0.0513677454752
14 0.00267795093724 0.00254304615172 0.0338518984696 0.0139069806468
15 0.000147152367974 0.000101490300246 -0.0361832988389 -0.0537746955539
16 0.000188516048614 0.000190353120793 -0.0342306998026 -0.0517493724667
17 -0.00271625991907 -0.00203905473356 -0.109471481458 -0.112546621816
18 0.00117219011972 0.00186157765454 -0.0094078347526 -0.00436970283646
19 0.000371017088884 0.002128512747 -0.0204060443933 0.00284629953921
20 -0.000160416232849 0.000818679064469 -0.0424282376459 -0.0314518051798
21 -0.00115190767392 -0.00192324149411 -0.0675183075868 -0.103421869941
22 -0.00152146136974 -0.000663058425301 -0.07716240595 -0.070893125999
X -0.998043507897 -0.996924418583 -19.3802143971 -19.3378608417
Y -0.995130346259 -0.997794992732 -19.0844200663 -19.0507850197
Standard deviation of mean chromosomal ratios: 0.275872667925
Median of all within-segment ratio variances: 0.00117828183673
